Name,Negative_score,Positive_score
Nara Thai Sri Lanka,0.100440055,0.8995599
Ponnusamy Chettinad Non-Veg,0.100458466,0.89954156
The Dragon,0.10052634,0.89947367
Cloud Red,0.10053199,0.899468
The Dining room at Cinnamon Lakeside Colombo,0.100585945,0.89941406
Park Street Mews Restaurant,0.10061497,0.89938504
Lagoon,0.10061525,0.89938474
Nuga Gama,0.10067125,0.89932877
Agra,0.10093942,0.8990606
PastaMania Srilanka,0.10099259,0.89900744
Hotel De Buhari,0.10100902,0.898991
The Bread Company,0.10112643,0.89887357
Choco Luv,0.101154715,0.89884526
Majestic City,0.101272665,0.89872736
Yumi,0.10160174,0.8983983
Breeze Bar,0.10163252,0.89836746
Praneetha Foods,0.10223636,0.8977636
Al Maas Family Restaurant,0.10297578,0.8970242
My Dining,0.10495531,0.8950447
Almonds Exclusive,0.10696004,0.89303994
Jade Restaurant,0.11139842,0.8886016
Edo Japanese Restaurant,0.12510306,0.87489694
Cafe Colombo,0.12518796,0.874812
Kohinoor Restaurant,0.12520418,0.8747958
PappaRich,0.12521552,0.87478447
Chana s,0.13679655,0.86320347
Steamboat Restaurant,0.13882364,0.8611764
Mayura Hotel,0.1430002,0.8569998
Barista,0.14419325,0.85580677
Hadramout resturant for arabicha,0.16649877,0.8335012
Sen-Saal,0.16665006,0.83334994
Hotel Sunhill Chinese Restaurant,0.16669327,0.8333067
The Mezza9,0.16675767,0.8332423
Pho Vietnam,0.16678119,0.8332188
Butlers,0.16684288,0.8331571
Eat,0.16690516,0.83309484
Chinese Delight,0.16694267,0.83305734
Rocco�s,0.18535219,0.8146478
E-Cafe,0.1965602,0.8034398
Acropol Restaurant,0.19661294,0.80338705
The Irish Bar & Grill,0.19727075,0.80272925
Alhambra,0.1984261,0.8015739
One Up all Day Breakfast & Coffee,0.19880608,0.8011939
Food Studio at Colombo City Centre,0.19901356,0.8009864
Colombo Fort Cafe,0.19910237,0.8008976
Echo,0.19923313,0.8007669
Navratna,0.1992923,0.8007077
Sugar Bistro & Wine Bar,0.19957165,0.80042833
Kings Steakbar,0.19957452,0.80042547
Tony Ni Barbecue,0.19966578,0.8003342
Amirthaa,0.19967929,0.80032074
Far East,0.19970298,0.800297
The Avenue,0.19973403,0.8002659
Life Food,0.1997426,0.8002574
Crossroads  Caf� and Restaurant,0.19974706,0.800253
New Banana Leaf,0.19974859,0.80025136
Tintagel Colombo - Paradise Road,0.19977294,0.80022705
Plus Nine Four,0.19981393,0.80018604
Peach Valley,0.19982493,0.800175
Golden Dragon,0.19983092,0.8001691
Hotel Sapphire,0.19983377,0.80016625
Kava Island Bar,0.19984046,0.8001595
Scarlet Room,0.199852,0.800148
The Poolside Bar and Terrace,0.19985317,0.8001468
Yarl Hotel,0.19985342,0.8001466
Blue Field Tea Center,0.19985676,0.80014324
Spice Coast,0.19986205,0.80013794
Cricket Club Cafe,0.199863,0.800137
Barracuda - Crow Island,0.19986308,0.8001369
Taco Bell,0.19986767,0.80013233
Tasty Caterers,0.19987258,0.80012745
Zen Sushi,0.19987446,0.80012554
The Bayleaf,0.19988175,0.80011827
TACOCAT,0.19992995,0.80007005
"The Ocean, The Kingsbury",0.19993001,0.80007
Dolce Italia,0.19993645,0.80006355
Travellers  Bar,0.1999399,0.8000601
Green Cabin Kollupitiya,0.19993997,0.80006003
Next Innings,0.19995807,0.8000419
Ramen + Izakaya Makotoya,0.19996199,0.80003804
Palmyrah Restaurant,0.19996434,0.80003566
Jasmine Song,0.1999664,0.80003357
Cloud Cafe,0.19997077,0.8000292
Tsukiji Uoichi,0.19997455,0.80002546
Bombay Sweet Meat Mart,0.19997592,0.8000241
Isso,0.19997945,0.8000205
Life s Good Kitchen,0.19998121,0.8000188
Chopsticks,0.19998321,0.80001676
Bubble Me Bubble Tea,0.19998443,0.80001557
Suki s Wok,0.19998595,0.800014
Beehive by RnR,0.19998941,0.80001056
The Station,0.19998944,0.80001056
Harbour Stop,0.19998966,0.8000103
Crab Factory,0.19999108,0.8000089
The Cafe on the 5th,0.19999589,0.8000041
Playtrix Sports Bar and Cafe,0.19999626,0.80000377
Botanik Bistro & Roof Top Bar,0.19999957,0.8000004
Chatz Cafe,0.20000362,0.7999964
Colombo YMCA,0.20000468,0.7999953
The Paddington,0.20000908,0.79999095
Health House,0.20001957,0.79998046
Elevate Restaurant & Bar,0.20001958,0.7999804
Shiwu Chinese Restaurant,0.20002156,0.79997844
Kami Maki,0.20002456,0.7999754
Casserole,0.20002986,0.79997015
The Grill - The Kingsbury,0.20003161,0.79996836
Streat 360 Restaurant,0.20003544,0.7999646
WIP (Work In Progress),0.20004673,0.7999532
InDoose Indian Restaurantr,0.20004968,0.7999503
Delifrance,0.20005554,0.79994446
Red Orchids Restaurant,0.20005828,0.7999417
Hotel De Pilawoos,0.20006086,0.79993916
Kumbuk Kitchen,0.20007482,0.79992515
Baillie Street Merchants,0.20008138,0.7999186
Cheers Pub,0.20008194,0.79991806
Verandah Bistro & Bar at Hilton Colombo Residences,0.20008524,0.7999148
The Four Leafed Clover,0.20009194,0.79990804
Han Gook Gwan,0.20011984,0.79988015
Arcadia Cafe and restaurant,0.20013398,0.799866
Culinary Ceylon,0.2001483,0.7998517
Ministry of Crab,0.20014857,0.7998514
Cafe Shaze,0.20017117,0.7998288
The Pizza Bakery - Bar & Eatery,0.2002231,0.7997769
Cloud9 Rooftop Lounge,0.20022906,0.79977095
Okra Kitchen by Ravi & Sepali,0.20024943,0.79975057
The Barnesbury,0.20026365,0.7997364
Sapphyr Lounge,0.20026822,0.7997318
Yue Chuen,0.20027779,0.7997222
Smokestacks,0.20028014,0.79971987
"Harbour Court, The Kingsbury",0.20032237,0.7996776
Shang Palace,0.20033063,0.7996693
Dindigul Thalappakatti Restaurant,0.20034268,0.79965734
Ginza Hohsen,0.20036837,0.79963166
Calorie Counter Colombo 7,0.20041685,0.79958314
Sushi Bar,0.20045199,0.79954803
Sudarshan Veg,0.20054299,0.799457
Shisha Luv,0.20083965,0.79916036
Sri Lankan Restaurant,0.20112236,0.79887766
Ananda Bhavan,0.20154437,0.79845566
Moon River,0.20232521,0.7976748
Belmio Pizza,0.202561,0.797439
The Bavarian German Restaurant and Pub,0.20279312,0.7972069
Thai Cuisine Boulevard,0.20672798,0.793272
The 1864,0.21061356,0.78938645
Zylan Luxury Villa,0.21639465,0.78360534
Chocoholicslk,0.2492563,0.7507437
Owsc,0.24939142,0.75060856
Calorie Counter Colombo 5,0.24962927,0.7503707
Quick Thai,0.24966843,0.7503316
Orient Club,0.24970709,0.7502929
Mintaka Restaurant,0.24978054,0.75021946
Forty Seven Spice,0.24985263,0.7501474
Tokyo Shokudo,0.24992453,0.75007546
3Brothers Italian Bistro,0.24993943,0.75006056
Curry Pot Restaurant,0.24995331,0.7500467
The Pool Bar,0.24996175,0.75003827
Al Maas,0.2514124,0.7485876
Cafe 97,0.2736543,0.72634566
Capri Club,0.28583446,0.7141655
Bbq Station,0.28622964,0.7137704
Panino (Cotton Collection),0.28679737,0.7132026
Mood Cafe & Bistro,0.2899927,0.7100073
Min Han,0.29860407,0.7013959
RE,0.29879302,0.701207
De Vos Cafe,0.29889217,0.70110786
Curve,0.29893085,0.7010692
IL Cielo,0.2989337,0.70106626
London House of Coffee,0.2991799,0.7008201
Epicure,0.2994455,0.7005545
Havelock Place Bungalow,0.2994679,0.7005321
Caf� Fran�ais,0.29947293,0.7005271
Grand Monarch,0.2994964,0.7005036
Emperors Wok,0.29951832,0.7004817
AYU,0.2995585,0.70044154
Kami Maki Colombo 07,0.29958948,0.7004105
Berlin Sky Lounge,0.29963055,0.7003695
Loft Lounge Bar,0.29963335,0.7003666
Sheherazade,0.29965055,0.70034945
The Exchange Restaurant + Pub,0.29965144,0.70034856
Amaravathi,0.29966557,0.7003344
Flavors,0.29967314,0.70032686
The Coffee Bean & Tea Leaf,0.29968125,0.70031875
Pebbles,0.29972303,0.700277
Navayuga Indian Restaurant,0.2997296,0.7002704
L.A.B,0.2997325,0.7002675
Beach Wadiya,0.29974574,0.70025426
Greenlands Hotel,0.29975617,0.70024383
Cafe Nuga,0.2997695,0.70023054
Sulthan Palace,0.29977122,0.7002288
Akasa Kade,0.29977718,0.7002228
Superfood,0.29980052,0.7001995
Amro Vegetarian Cafe,0.29983172,0.70016825
Xilaton Chinese Restaurant,0.2998507,0.7001493
Raja Bojun,0.2998702,0.7001298
Curry Pot,0.29987088,0.7001291
Park View Restaurant Colombo 10,0.29995313,0.70004684
German Artisan Bakery and Deli,0.29998872,0.70001125
Lattice Lounge,0.3000276,0.6999724
Moksha,0.30014554,0.6998545
The Lion Pub,0.30075693,0.69924307
Caf� La D�fense,0.30077222,0.6992278
Great Wall Restaurants,0.30081737,0.6991826
The Gardenia Coffee Shop,0.3011519,0.6988481
Kobe At The Edge,0.3324009,0.66759914
Beruwala Eating House,0.3324136,0.6675864
Moon River Chinese Sea Food Restaurant,0.33269864,0.66730136
D�lifrance,0.33289984,0.6671002
Kitchen3576 FoodTruck,0.33301786,0.6669821
Culinary Craft Cafe at Villa Raha,0.3330189,0.6669811
Coffee Club,0.33305296,0.666947
Kaffeine by REPUBLK,0.33313158,0.6668684
Fisherman s Villa,0.37465924,0.62534076
The Mango Tree,0.39715484,0.6028452
Fatty Patty,0.39775497,0.60224503
Peppermint Cafe,0.39805275,0.60194725
Manhattan Fish Market,0.39827842,0.6017215
Urban Kitchen,0.39841127,0.6015887
Dao Krua Thai,0.39879066,0.60120934
Culture Colombo,0.3990589,0.6009411
Robata Grill and Lounge,0.39936233,0.6006377
Cafe Fort,0.39945397,0.600546
Juiceez,0.39947006,0.6005299
Santai Colombo,0.39947444,0.60052556
The t-Lounge by Dilmah,0.3994831,0.60051686
The Manhattan Fish Market Sri Lanka,0.39949855,0.6005015
The Keg,0.39949998,0.60050005
Tang Dynasty,0.39950657,0.60049343
Ask For Fern,0.39955902,0.6004409
Tea Breeze,0.3995634,0.6004366
Cafe Bagatalle,0.3995674,0.60043263
Otter Aquatic Club,0.39957148,0.6004285
Baguette French Bakery & Cafe,0.39963192,0.600368
Arthur s Pizzeria,0.3996466,0.60035336
Cafe Kumbuk,0.39967188,0.60032815
Moti Mahal,0.39968392,0.60031605
La Veranda,0.39973322,0.6002668
Long Feng - Cinnamon Lakeside,0.39992172,0.6000783
Flag & Whistle Restarant & Pub,0.39992487,0.6000751
The Floor By O!,0.39993897,0.60006106
TGI Fridays,0.42786852,0.57213145
Indulge Desserts Co,0.44375917,0.55624086
Praneetha,0.44387132,0.5561287
Bombay Borough,0.4903331,0.50966686
Chillax Garden Pub,0.49780142,0.5021986
Baker s Choice Caf�,0.49842817,0.50157183
TeaTalk,0.49898466,0.5010153
King of the Mambo,0.49911508,0.50088495
Vilasa Cottage,0.4992252,0.5007748
Caf-Island,0.49925518,0.50074476
Cafe Beverly,0.49930692,0.5006931
Coffee & Bread on 27th,0.49935898,0.500641
The Bibim,0.499384,0.5006161
The Grove,0.49939737,0.5006026
Il Ponte,0.49962166,0.5003784
Hancook kitchen,0.4997244,0.5002756
Flower Gate Chinese Restaurant,0.5706004,0.42939964
Ranbath,0.5706723,0.42932773
